,x_true,y_true,x_pred,y_pred,x_naive,y_naive,ontrack_error,offtrack_error,ontrack_error_naive,offtrack_error_naive,heading,base_url
286,727045.7720803074,5887442.613144432,727020.2255797744,5887417.043185961,725611.7962234579,5888109.990965697,36.14479859776954,1.1641532182693481e-10,-1333.2870234367558,837.4602163814588,331.6130333759231,gs://gcp-public-data-sentinel-2/tiles/28/U/GD/S2B_MSIL1C_20220725T120359_N0400_R066_T28UGD_20220725T154533.SAFE
287,641945.8136560409,5918235.680272108,641814.8782615202,5918309.223214576,643370.7777889922,5917787.76764745,150.17537056797823,-2.3283064365386963e-10,-1344.9884184899215,-715.4667772106513,83.05236939863046,gs://gcp-public-data-sentinel-2/tiles/29/U/PV/S2B_MSIL1C_20220726T113329_N0400_R080_T29UPV_20220726T122408.SAFE
288,419336.06635164,6400560.773316727,419409.2075441359,6400413.056334925,419791.1718311662,6401447.491566558,-164.8330693534707,-1.7462298274040222e-10,287.0637513042285,1012.3269568938321,133.03589387890938,gs://gcp-public-data-sentinel-2/tiles/32/V/MK/S2A_MSIL1C_20220726T103631_N0400_R008_T32VMK_20220726T173809.SAFE
289,789617.0393414324,5840550.3408670975,789432.0215209761,5840650.417972614,791826.0304832899,5840392.017548624,210.3497585807343,0.0,-2203.4655646136503,-343.0850645059395,91.19348942398204,gs://gcp-public-data-sentinel-2/tiles/32/U/QD/S2A_MSIL1C_20220727T100601_N0400_R022_T32UQD_20220727T135018.SAFE
290,574971.6109697074,5974084.050992297,574892.4968498362,5974099.667912273,572528.8518334463,5974848.708096237,-80.64075987066455,0.0,-2507.2508212796292,484.2486338984767,299.8608938531807,gs://gcp-public-data-sentinel-2/tiles/29/U/NV/S2A_MSIL1C_20220727T115411_N0400_R023_T29UNV_20220727T170843.SAFE
291,472295.6468140742,5536433.838229292,472365.18830712466,5536421.589621015,472635.45484637143,5536097.636141654,70.61195125755407,-1.1641532182693481e-10,419.5263457567448,236.07894703444381,284.9732528663882,gs://gcp-public-data-sentinel-2/tiles/32/U/MA/S2B_MSIL1C_20220728T102559_N0400_R108_T32UMA_20220728T141212.SAFE
292,450416.28113544075,5254856.315589455,450505.5226640825,5254852.863400576,449200.6855737539,5255026.324614889,-89.30827532995556,-1.7462298274040222e-10,1136.6035058468774,-511.7579102820853,120.18653588119534,gs://gcp-public-data-sentinel-2/tiles/32/T/MT/S2B_MSIL1C_20220728T102559_N0400_R108_T32TMT_20220728T141212.SAFE
293,458778.1975855707,6017164.970202956,458932.19827381097,6017021.193218007,460865.1346891319,6016477.015543611,210.68467761028197,2.3283064365386963e-10,2053.245375315097,-806.5732435805586,309.3624571155401,gs://gcp-public-data-sentinel-2/tiles/30/U/VF/S2A_MSIL1C_20220728T112121_N0400_R037_T30UVF_20220728T150238.SAFE
294,734184.5759744068,5729877.853498237,734409.0181506298,5729865.054214488,733430.465918585,5730430.676030584,224.80683293035707,1.1641532182693481e-10,-620.0650029222406,-757.4516395404083,260.2685802190846,gs://gcp-public-data-sentinel-2/tiles/30/U/YC/S2B_MSIL1C_20220730T110629_N0400_R137_T30UYC_20220730T115533.SAFE
295,516843.86785011966,4296965.6820153,516846.9551655572,4296968.232818529,519934.43717505585,4298298.980424925,4.0047613817991365,0.0,2882.4649305668204,1750.6850678532232,215.3026195024675,gs://gcp-public-data-sentinel-2/tiles/18/S/WJ/S2B_MSIL1C_20220731T153819_N0400_R011_T18SWJ_20220731T174320.SAFE
296,523408.6067957375,5522185.505303012,523404.1064321519,5522197.445874224,523744.5292424433,5521687.485809981,-12.760505996117365,-5.820766091346741e-11,508.94745494912934,331.5813962270203,293.81649587505393,gs://gcp-public-data-sentinel-2/tiles/32/U/NA/S2A_MSIL1C_20220802T102611_N0400_R108_T32UNA_20220802T141116.SAFE
297,449910.2559696128,4706979.63975744,450178.60733290465,4707225.629653975,451677.7355062286,4707595.1825912,364.0377499350887,1.1641532182693481e-10,1743.053769560826,678.6483568134955,229.2954465715184,gs://gcp-public-data-sentinel-2/tiles/18/T/VN/S2B_MSIL1C_20220803T154819_N0400_R054_T18TVN_20220804T063027.SAFE
298,611307.254340504,5297144.280373306,611462.7702282758,5297045.75159225,609652.0258706189,5297788.859482581,184.10082032921827,-1.1641532182693481e-10,-1776.0346297930635,-42.495505386375484,292.3004099927738,gs://gcp-public-data-sentinel-2/tiles/33/U/XP/S2A_MSIL1C_20220803T100041_N0400_R122_T33UXP_20220803T134136.SAFE
299,463354.17102804064,6357233.090927832,463382.02288419486,6357184.11486248,464730.8281869528,6356561.439238495,-56.341644177064715,-2.3283064365386963e-10,-1447.3836147296624,509.9187033766807,134.7430699754965,gs://gcp-public-data-sentinel-2/tiles/32/V/MJ/S2A_MSIL1C_20220805T103631_N0400_R008_T32VMJ_20220805T155926.SAFE
300,446870.9532604677,5057161.486291486,446534.2792288238,5057217.712923253,449028.2510312627,5056494.878984068,-341.3368390655612,-5.820766091346741e-11,2224.966467704691,386.40244220904776,277.1545198372895,gs://gcp-public-data-sentinel-2/tiles/31/T/DL/S2A_MSIL1C_20220805T103631_N0400_R008_T31TDL_20220805T155926.SAFE
301,691393.816440676,5256329.970109255,691714.1954215477,5256127.200913779,689851.0533835643,5256938.708316112,379.1543722788629,-1.1641532182693481e-10,-1650.0872386394658,133.32870784071144,299.3778997372891,gs://gcp-public-data-sentinel-2/tiles/29/T/PN/S2B_MSIL1C_20220805T113329_N0400_R080_T29TPN_20220805T121944.SAFE
